Market,Model,QLIKE,RMSE,R2,N_tickers
NSE,GARCH,0.575059709355256,0.1972831203506363,-0.5097531744595996,1
NSE,EGARCH,0.5588491183183117,0.19002622864096014,-0.4007260099753349,1
NSE,GJR-GARCH,0.5738873926594814,0.19581887424817307,-0.4874254009110406,1
NSE,HAR-RV,0.47164973222866396,0.16263235182055386,-0.025982562051977576,1
NSE,CNN-GARCH,0.48187516811915404,0.16225709897015375,-0.16821154615588307,1
NASDAQ,GARCH,0.5657647494559954,0.19514621465568868,-0.6402423619584681,1
NASDAQ,EGARCH,0.5634121024420446,0.19398532380754735,-0.62078537536547,1
NASDAQ,GJR-GARCH,0.5777954758029344,0.19996070068423127,-0.7221741292499202,1
NASDAQ,HAR-RV,0.4685070393843492,0.1586113758180339,-0.08356863553476734,1
NASDAQ,CNN-GARCH,0.5112478988591128,0.1691409140954204,-0.19429651662570002,1
