Ticker,Model,RMSE,MAE,QLIKE,R2
AAPL,GARCH,0.19514621465568868,0.16466411718065332,0.5657647494559954,-0.6402423619584681
AAPL,EGARCH,0.19398532380754735,0.16304878263041503,0.5634121024420446,-0.62078537536547
AAPL,GJR-GARCH,0.19996070068423127,0.17002938997363132,0.5777954758029344,-0.7221741292499202
AAPL,HAR-RV,0.1586113758180339,0.12024434481954682,0.4685070393843492,-0.08356863553476734
AAPL,CNN-GARCH,0.1691409140954204,0.12576224249485052,0.5112478988591128,-0.19429651662570002
RELIANCE_NS,GARCH,0.1972831203506363,0.16080865671373215,0.575059709355256,-0.5097531744595996
RELIANCE_NS,EGARCH,0.19002622864096014,0.15227891725520187,0.5588491183183117,-0.4007260099753349
RELIANCE_NS,GJR-GARCH,0.19581887424817307,0.16013639752834172,0.5738873926594814,-0.4874254009110406
RELIANCE_NS,HAR-RV,0.16263235182055386,0.11305062007144513,0.47164973222866396,-0.025982562051977576
RELIANCE_NS,CNN-GARCH,0.16225709897015375,0.12176731178696426,0.48187516811915404,-0.16821154615588307
AVERAGE,GARCH,0.1962146675031625,0.16273638694719272,0.5704122294056257,-0.5749977682090338
AVERAGE,EGARCH,0.19200577622425374,0.15766384994280846,0.5611306103801782,-0.5107556926704024
AVERAGE,GJR-GARCH,0.19788978746620217,0.1650828937509865,0.5758414342312079,-0.6047997650804804
AVERAGE,HAR-RV,0.1606218638192939,0.11664748244549597,0.47007838580650657,-0.05477559879337246
AVERAGE,CNN-GARCH,0.16569900653278707,0.12376477714090739,0.49656153348913346,-0.18125403139079155
